year,month,value
1995,1,0.849
1995,2,0.845
1995,3,0.843
1995,4,0.84
1995,5,0.84
1995,6,0.839
1995,7,0.833
1995,8,0.84
1995,9,0.84
1995,10,0.836
1995,11,0.835
1995,12,0.834
1996,1,0.825
1996,2,0.834
1996,3,0.83
1996,4,0.833
1996,5,0.835
1996,6,0.838
1996,7,0.833
1996,8,0.834
1996,9,0.836
1996,10,0.831
1996,11,0.834
1996,12,0.836
1997,1,0.833
1997,2,0.839
1997,3,0.84
1997,4,0.836
1997,5,0.837
1997,6,0.836
1997,7,0.838
1997,8,0.842
1997,9,0.844
1997,10,0.846
1997,11,0.848
1997,12,0.845
1998,1,0.844
1998,2,0.839
1998,3,0.835
1998,4,0.832
1998,5,0.832
1998,6,0.822
1998,7,0.814
1998,8,0.826
1998,9,0.82
1998,10,0.823
1998,11,0.818
1998,12,0.818
1999,1,0.818
1999,2,0.818
1999,3,0.816
1999,4,0.815
1999,5,0.818
1999,6,0.813
1999,7,0.815
1999,8,0.816
1999,9,0.81
1999,10,0.817
1999,11,0.818
1999,12,0.822
2000,1,0.819
2000,2,0.819
2000,3,0.819
2000,4,0.822
2000,5,0.821
2000,6,0.819
2000,7,0.816
2000,8,0.81
2000,9,0.811
2000,10,0.806
2000,11,0.804
2000,12,0.799
2001,1,0.791
2001,2,0.784
2001,3,0.78
2001,4,0.775
2001,5,0.768
2001,6,0.761
2001,7,0.755
2001,8,0.751
2001,9,0.747
2001,10,0.742
2001,11,0.737
2001,12,0.736
2002,1,0.739
2002,2,0.738
2002,3,0.743
2002,4,0.746
2002,5,0.748
2002,6,0.755
2002,7,0.753
2002,8,0.753
2002,9,0.754
2002,10,0.752
2002,11,0.756
2002,12,0.752
2003,1,0.758
2003,2,0.76
2003,3,0.759
2003,4,0.754
2003,5,0.754
2003,6,0.755
2003,7,0.759
2003,8,0.758
2003,9,0.763
2003,10,0.764
2003,11,0.77
2003,12,0.769
2004,1,0.771
2004,2,0.776
2004,3,0.772
2004,4,0.775
2004,5,0.781
2004,6,0.775
2004,7,0.781
2004,8,0.782
2004,9,0.782
2004,10,0.79
2004,11,0.791
2004,12,0.796
2005,1,0.799
2005,2,0.804
2005,3,0.802
2005,4,0.802
2005,5,0.802
2005,6,0.804
2005,7,0.801
2005,8,0.801
2005,9,0.785
2005,10,0.794
2005,11,0.8
2005,12,0.804
2006,1,0.804
2006,2,0.803
2006,3,0.804
2006,4,0.806
2006,5,0.804
2006,6,0.806
2006,7,0.804
2006,8,0.805
2006,9,0.803
2006,10,0.801
2006,11,0.798
2006,12,0.805
2007,1,0.799
2007,2,0.806
2007,3,0.805
2007,4,0.81
2007,5,0.809
2007,6,0.807
2007,7,0.806
2007,8,0.807
2007,9,0.809
2007,10,0.804
2007,11,0.809
2007,12,0.809
2008,1,0.807
2008,2,0.806
2008,3,0.804
2008,4,0.799
2008,5,0.796
2008,6,0.794
2008,7,0.79
2008,8,0.778
2008,9,0.745
2008,10,0.751
2008,11,0.741
2008,12,0.719
2009,1,0.701
2009,2,0.696
2009,3,0.685
2009,4,0.679
2009,5,0.672
2009,6,0.669
2009,7,0.676
2009,8,0.684
2009,9,0.69
2009,10,0.694
2009,11,0.697
2009,12,0.7
2010,1,0.71
2010,2,0.714
2010,3,0.72
2010,4,0.724
2010,5,0.736
2010,6,0.739
2010,7,0.744
2010,8,0.748
2010,9,0.751
2010,10,0.75
2010,11,0.751
2010,12,0.758
2011,1,0.758
2011,2,0.755
2011,3,0.761
2011,4,0.757
2011,5,0.759
2011,6,0.76
2011,7,0.762
2011,8,0.766
2011,9,0.764
2011,10,0.768
2011,11,0.765
2011,12,0.768
2012,1,0.772
2012,2,0.772
2012,3,0.765
2012,4,0.77
2012,5,0.769
2012,6,0.767
2012,7,0.768
2012,8,0.763
2012,9,0.762
2012,10,0.763
2012,11,0.765
2012,12,0.766
2013,1,0.765
2013,2,0.767
2013,3,0.768
2013,4,0.767
2013,5,0.766
2013,6,0.766
2013,7,0.762
2013,8,0.767
2013,9,0.77
2013,10,0.769
2013,11,0.77
2013,12,0.771
2014,1,0.768
2014,2,0.773
2014,3,0.778
2014,4,0.778
2014,5,0.78
2014,6,0.782
2014,7,0.783
2014,8,0.782
2014,9,0.785
2014,10,0.785
2014,11,0.79
2014,12,0.79
2015,1,0.787
2015,2,0.784
2015,3,0.782
2015,4,0.78
2015,5,0.776
2015,6,0.775
2015,7,0.78
2015,8,0.779
2015,9,0.779
2015,10,0.777
2015,11,0.77
2015,12,0.764
