year,month,value
1995,1,0.0553
1995,2,0.0592
1995,3,0.0598
1995,4,0.0605
1995,5,0.0601
1995,6,0.06
1995,7,0.0585
1995,8,0.0574
1995,9,0.058
1995,10,0.0576
1995,11,0.058
1995,12,0.056
1996,1,0.0556
1996,2,0.0522
1996,3,0.0531
1996,4,0.0522
1996,5,0.0524
1996,6,0.0527
1996,7,0.054
1996,8,0.0522
1996,9,0.053
1996,10,0.0524
1996,11,0.0531
1996,12,0.0529
1997,1,0.0525
1997,2,0.0519
1997,3,0.0539
1997,4,0.0551
1997,5,0.055
1997,6,0.0556
1997,7,0.0552
1997,8,0.0554
1997,9,0.0554
1997,10,0.055
1997,11,0.0552
1997,12,0.055
1998,1,0.0556
1998,2,0.0551
1998,3,0.0549
1998,4,0.0545
1998,5,0.0549
1998,6,0.0556
1998,7,0.0554
1998,8,0.0555
1998,9,0.0551
1998,10,0.0507
1998,11,0.0483
1998,12,0.0468
1999,1,0.0463
1999,2,0.0476
1999,3,0.0481
1999,4,0.0474
1999,5,0.0474
1999,6,0.0476
1999,7,0.0499
1999,8,0.0507
1999,9,0.0522
1999,10,0.052
1999,11,0.0542
1999,12,0.053
2000,1,0.0545
2000,2,0.0573
2000,3,0.0585
2000,4,0.0602
2000,5,0.0627
2000,6,0.0653
2000,7,0.0654
2000,8,0.065
2000,9,0.0652
2000,10,0.0651
2000,11,0.0651
2000,12,0.064
2001,1,0.0598
2001,2,0.0549
2001,3,0.0531
2001,4,0.048
2001,5,0.0421
2001,6,0.0397
2001,7,0.0377
2001,8,0.0365
2001,9,0.0307
2001,10,0.0249
2001,11,0.0209
2001,12,0.0182
2002,1,0.0173
2002,2,0.0174
2002,3,0.0173
2002,4,0.0175
2002,5,0.0175
2002,6,0.0175
2002,7,0.0173
2002,8,0.0174
2002,9,0.0175
2002,10,0.0175
2002,11,0.0134
2002,12,0.0124
2003,1,0.0124
2003,2,0.0126
2003,3,0.0125
2003,4,0.0126
2003,5,0.0126
2003,6,0.0122
2003,7,0.0101
2003,8,0.0103
2003,9,0.0101
2003,10,0.0101
2003,11,0.01
2003,12,0.0098
2004,1,0.01
2004,2,0.0101
2004,3,0.01
2004,4,0.01
2004,5,0.01
2004,6,0.0103
2004,7,0.0126
2004,8,0.0143
2004,9,0.0161
2004,10,0.0176
2004,11,0.0193
2004,12,0.0216
2005,1,0.0228
2005,2,0.025
2005,3,0.0263
2005,4,0.0279
2005,5,0.03
2005,6,0.0304
2005,7,0.0326
2005,8,0.035
2005,9,0.0362
2005,10,0.0378
2005,11,0.04
2005,12,0.0416
2006,1,0.0429
2006,2,0.0449
2006,3,0.0459
2006,4,0.0479
2006,5,0.0494
2006,6,0.0499
2006,7,0.0524
2006,8,0.0525
2006,9,0.0525
2006,10,0.0525
2006,11,0.0525
2006,12,0.0524
2007,1,0.0525
2007,2,0.0526
2007,3,0.0526
2007,4,0.0525
2007,5,0.0525
2007,6,0.0525
2007,7,0.0526
2007,8,0.0502
2007,9,0.0494
2007,10,0.0476
2007,11,0.0449
2007,12,0.0424
2008,1,0.0394
2008,2,0.0298
2008,3,0.0261
2008,4,0.0228
2008,5,0.0198
2008,6,0.02
2008,7,0.0201
2008,8,0.02
2008,9,0.0181
2008,10,0.0097
2008,11,0.0039
2008,12,0.0016
2009,1,0.0015
2009,2,0.0022
2009,3,0.0018
2009,4,0.0015
2009,5,0.0018
2009,6,0.0021
2009,7,0.0016
2009,8,0.0016
2009,9,0.0015
2009,10,0.0012
2009,11,0.0012
2009,12,0.0012
2010,1,0.0011
2010,2,0.0013
2010,3,0.0016
2010,4,0.002
2010,5,0.002
2010,6,0.0018
2010,7,0.0018
2010,8,0.0019
2010,9,0.0019
2010,10,0.0019
2010,11,0.0019
2010,12,0.0018
2011,1,0.0017
2011,2,0.0016
2011,3,0.0014
2011,4,0.001
2011,5,0.0009
2011,6,0.0009
2011,7,0.0007
2011,8,0.001
2011,9,0.0008
2011,10,0.0007
2011,11,0.0008
2011,12,0.0007
2012,1,0.0008
2012,2,0.001
2012,3,0.0013
2012,4,0.0014
2012,5,0.0016
2012,6,0.0016
2012,7,0.0016
2012,8,0.0013
2012,9,0.0014
2012,10,0.0016
2012,11,0.0016
2012,12,0.0016
2013,1,0.0014
2013,2,0.0015
2013,3,0.0014
2013,4,0.0015
2013,5,0.0011
2013,6,0.0009
2013,7,0.0009
2013,8,0.0008
2013,9,0.0008
2013,10,0.0009
2013,11,0.0008
2013,12,0.0009
2014,1,0.0007
2014,2,0.0007
2014,3,0.0008
2014,4,0.0009
2014,5,0.0009
2014,6,0.001
2014,7,0.0009
2014,8,0.0009
2014,9,0.0009
2014,10,0.0009
2014,11,0.0009
2014,12,0.0012
2015,1,0.0011
2015,2,0.0011
2015,3,0.0011
2015,4,0.0012
2015,5,0.0012
2015,6,0.0013
2015,7,0.0013
2015,8,0.0014
2015,9,0.0014
2015,10,0.0012
2015,11,0.0012
2015,12,0.0024
