year,month,M1 Money Supply
1995,1,1150.62
1995,2,1147.5
1995,3,1147.48
1995,4,1147.95
1995,5,1146.14
1995,6,1144.75
1995,7,1144.94
1995,8,1145.78
1995,9,1143.35
1995,10,1136.72
1995,11,1135.15
1995,12,1126.55
1996,1,1124.7
1996,2,1118.175
1996,3,1121.4
1996,4,1125.4
1996,5,1117.175
1996,6,1114.15
1996,7,1113.7
1996,8,1102.85
1996,9,1096.38
1996,10,1086.15
1996,11,1083.775
1996,12,1081.38
1997,1,1081.75
1997,2,1079.3
1997,3,1072.62
1997,4,1064
1997,5,1063.5
1997,6,1065.96
1997,7,1064.875
1997,8,1075.525
1997,9,1067.66
1997,10,1064.575
1997,11,1071.325
1997,12,1071.5
1998,1,1075.025
1998,2,1076.625
1998,3,1077.2
1998,4,1076.3
1998,5,1079.35
1998,6,1076.22
1998,7,1074.65
1998,8,1076.3
1998,9,1079.5
1998,10,1085.3
1998,11,1094.14
1998,12,1093.85
1999,1,1099.75
1999,2,1097.325
1999,3,1096.48
1999,4,1100.075
1999,5,1104.1
1999,6,1100.1
1999,7,1098.175
1999,8,1099.34
1999,9,1095.8
1999,10,1103.125
1999,11,1109.48
1999,12,1119.825
2000,1,1124.72
2000,2,1108.35
2000,3,1105.775
2000,4,1117.875
2000,5,1105.04
2000,6,1102.175
2000,7,1104.38
2000,8,1100.55
2000,9,1100.3
2000,10,1098.76
2000,11,1093.075
2000,12,1088.55
2001,1,1094.62
2001,2,1100.15
2001,3,1107.75
2001,4,1115.32
2001,5,1118.35
2001,6,1126.55
2001,7,1137.7
2001,8,1147.925
2001,9,1208.25
2001,10,1166.6
2001,11,1169.775
2001,12,1182.3
2002,1,1190.35
2002,2,1189.775
2002,3,1194.375
2002,4,1185.2
2002,5,1187.925
2002,6,1195.95
2002,7,1199.68
2002,8,1183.95
2002,9,1197.42
2002,10,1203.625
2002,11,1206.575
2002,12,1221.06
2003,1,1223.6
2003,2,1237.4
2003,3,1239.12
2003,4,1247.4
2003,5,1267.975
2003,6,1280.96
2003,7,1286.25
2003,8,1298.425
2003,9,1295.96
2003,10,1294.5
2003,11,1303.175
2003,12,1303.46
2004,1,1304.25
2004,2,1319.65
2004,3,1326.66
2004,4,1326.2
2004,5,1336.9
2004,6,1343.875
2004,7,1338.8
2004,8,1353.1
2004,9,1361.025
2004,10,1364.25
2004,11,1371.24
2004,12,1373.975
2005,1,1369.2
2005,2,1371.025
2005,3,1371.3
2005,4,1357.1
2005,5,1365.5
2005,6,1379.075
2005,7,1369.65
2005,8,1375.28
2005,9,1373.55
2005,10,1378.14
2005,11,1377.525
2005,12,1374.55
2006,1,1380.34
2006,2,1379.45
2006,3,1379.7
2006,4,1385.9
2006,5,1385.46
2006,6,1370.4
2006,7,1371.88
2006,8,1371
2006,9,1363.6
2006,10,1368.82
2006,11,1371.2
2006,12,1370.45
2007,1,1372.3
2007,2,1365.525
2007,3,1363.75
2007,4,1378.2
2007,5,1379.35
2007,6,1364.825
2007,7,1368.4
2007,8,1368.7
2007,9,1380.925
2007,10,1375.34
2007,11,1371.975
2007,12,1377.92
2008,1,1380.275
2008,2,1380.25
2008,3,1390.74
2008,4,1390.8
2008,5,1389.95
2008,6,1399.84
2008,7,1415.575
2008,8,1406.475
2008,9,1450.36
2008,10,1463.925
2008,11,1516.3
2008,12,1592.46
2009,1,1594.8
2009,2,1569.875
2009,3,1576.22
2009,4,1612.45
2009,5,1615.275
2009,6,1643.86
2009,7,1653.125
2009,8,1659.96
2009,9,1662.025
2009,10,1672.375
2009,11,1688.7
2009,12,1696.575
2010,1,1685.375
2010,2,1697.4
2010,3,1710.98
2010,4,1692.175
2010,5,1708.66
2010,6,1722.9
2010,7,1717.425
2010,8,1743.36
2010,9,1762.75
2010,10,1781.1
2010,11,1824.22
2010,12,1839.5
2011,1,1858.52
2011,2,1874.075
2011,3,1890.0
2011,4,1894.1
2011,5,1931.06
2011,6,1941.675
2011,7,1982.5
2011,8,2102.1
2011,9,2120.075
2011,10,2144.14
2011,11,2175.625
2011,12,2163.5
2012,1,2205.6
2012,2,2209.25
2012,3,2222.425
2012,4,2244.64
2012,5,2250.525
2012,6,2258.275
2012,7,2305.42
2012,8,2328.8
2012,9,2394.275
2012,10,2412.2
2012,11,2420.05
2012,12,2462.92
2013,1,2470.35
2013,2,2466.45
2013,3,2463.8
2013,4,2508.58
2013,5,2513.6
2013,6,2528.55
2013,7,2538.36
2013,8,2541.85
2013,9,2587.18
2013,10,2627.975
2013,11,2616.875
2013,12,2659.94
2014,1,2678.775
2014,2,2712.125
2014,3,2746.98
2014,4,2770.475
2014,5,2785.375
2014,6,2819.82
2014,7,2837.4
2014,8,2807.8
2014,9,2860.96
2014,10,2868
2014,11,2889.425
2014,12,2919.52
2015,1,2929.575
2015,2,2980.95
2015,3,2992.2
2015,4,2995.425
2015,5,2993.2
2015,6,3008.12
2015,7,3028.075
2015,8,3046.14
2015,9,3058.025
2015,10,3033.8
2015,11,3084.12
2015,12,3073.775
