year,month,value
1995,1,3486.5
1995,2,3485.7
1995,3,3487.4
1995,4,3490.3
1995,5,3516.1
1995,6,3543.1
1995,7,3560.7
1995,8,3583.3
1995,9,3595.7
1995,10,3606.8
1995,11,3614.5
1995,12,3621.9
1996,1,3640.4
1996,2,3653.6
1996,3,3679.6
1996,4,3691.4
1996,5,3702.5
1996,6,3713.5
1996,7,3729.6
1996,8,3738.7
1996,9,3745.4
1996,10,3760.4
1996,11,3778.4
1996,12,3800.5
1997,1,3816.5
1997,2,3827.4
1997,3,3842.7
1997,4,3859.9
1997,5,3868.9
1997,6,3886.8
1997,7,3904.3
1997,8,3934
1997,9,3954.7
1997,10,3972.5
1997,11,3992.8
1997,12,4012.9
1998,1,4036.5
1998,2,4063.8
1998,3,4094.1
1998,4,4120.7
1998,5,4140.7
1998,6,4164.1
1998,7,4183.8
1998,8,4207.4
1998,9,4246.7
1998,10,4281.9
1998,11,4323
1998,12,4352.4
1999,1,4377.3
1999,2,4401.9
1999,3,4409.8
1999,4,4438.1
1999,5,4460.8
1999,6,4484.2
1999,7,4508.8
1999,8,4527.7
1999,9,4543.3
1999,10,4563.7
1999,11,4586.1
1999,12,4611.7
2000,1,4645.2
2000,2,4655.2
2000,3,4682
2000,4,4739
2000,5,4730
2000,6,4746.6
2000,7,4763.6
2000,8,4790.9
2000,9,4825.2
2000,10,4844
2000,11,4852.9
2000,12,4890.2
2001,1,4945
2001,2,4983.3
2001,3,5037.5
2001,4,5102.9
2001,5,5101.1
2001,6,5141.6
2001,7,5171.4
2001,8,5205.4
2001,9,5308
2001,10,5303.4
2001,11,5343.8
2001,12,5396.9
2002,1,5418.8
2002,2,5447.9
2002,3,5461.6
2002,4,5462.6
2002,5,5487.5
2002,6,5504.9
2002,7,5548.2
2002,8,5594.6
2002,9,5619
2002,10,5661.5
2002,11,5710.6
2002,12,5735.2
2003,1,5767
2003,2,5801.3
2003,3,5823.1
2003,4,5857.8
2003,5,5922.2
2003,6,5955.6
2003,7,6001.7
2003,8,6064.6
2003,9,6041.4
2003,10,6029.2
2003,11,6030.5
2003,12,6032.4
2004,1,6036.4
2004,2,6073.1
2004,3,6110.9
2004,4,6148.3
2004,5,6230.1
2004,6,6235.4
2004,7,6246.3
2004,8,6271.8
2004,9,6307.7
2004,10,6332.5
2004,11,6363.2
2004,12,6386.2
2005,1,6388.2
2005,2,6399.1
2005,3,6406.7
2005,4,6420.1
2005,5,6436.7
2005,6,6468.8
2005,7,6494.6
2005,8,6530.8
2005,9,6564.1
2005,10,6599.6
2005,11,6620.9
2005,12,6645.7
2006,1,6686.8
2006,2,6714.4
2006,3,6727.8
2006,4,6761.2
2006,5,6771.7
2006,6,6805.1
2006,7,6846.6
2006,8,6877
2006,9,6901.1
2006,10,6949.2
2006,11,6992.4
2006,12,7032
2007,1,7073.1
2007,2,7091.3
2007,3,7112.6
2007,4,7192.1
2007,5,7208.2
2007,6,7236.2
2007,7,7267.9
2007,8,7341
2007,9,7362.1
2007,10,7374.6
2007,11,7406.7
2007,12,7439.9
2008,1,7467.2
2008,2,7551
2008,3,7615.7
2008,4,7666.1
2008,5,7672
2008,6,7690.4
2008,7,7734.7
2008,8,7751.4
2008,9,7803.9
2008,10,7924.4
2008,11,7963
2008,12,8141.1
2009,1,8239.5
2009,2,8265.3
2009,3,8326
2009,4,8332.2
2009,5,8390.1
2009,6,8400.5
2009,7,8404.5
2009,8,8404.7
2009,9,8401.8
2009,10,8427
2009,11,8467.4
2009,12,8473.1
2010,1,8424
2010,2,8470
2010,3,8468.1
2010,4,8494.2
2010,5,8549.9
2010,6,8572
2010,7,8572.7
2010,8,8626.6
2010,9,8656.8
2010,10,8706.6
2010,11,8735.3
2010,12,8771.9
2011,1,8803.2
2011,2,8849.1
2011,3,8889.8
2011,4,8943.8
2011,5,9003.5
2011,6,9075.1
2011,7,9238.1
2011,8,9479.2
2011,9,9511.2
2011,10,9546.9
2011,11,9590.8
2011,12,9616.9
2012,1,9704.6
2012,2,9740
2012,3,9783.9
2012,4,9841.1
2012,5,9873
2012,6,9933.7
2012,7,10012.8
2012,8,10085.3
2012,9,10159
2012,10,10229.5
2012,11,10291.2
2012,12,10410.8
2013,1,10446.9
2013,2,10426.4
2013,3,10492.3
2013,4,10548.9
2013,5,10577.5
2013,6,10624.9
2013,7,10691
2013,8,10751.2
2013,9,10808
2013,10,10920
2013,11,10922.4
2013,12,10980.9
2014,1,11029.1
2014,2,11092.6
2014,3,11147.8
2014,4,11209.2
2014,5,11272
2014,6,11334
2014,7,11398.2
2014,8,11433.4
2014,9,11473.3
2014,10,11528.5
2014,11,11553.3
2014,12,11629.8
2015,1,11685.8
2015,2,11790.3
2015,3,11833.8
2015,4,11887
2015,5,11915.4
2015,6,11965.5
2015,7,12030.8
2015,8,12091.4
2015,9,12157.7
2015,10,12165
2015,11,12255.1
2015,12,12298.6
