year,month,value
1995,1,755.3224948
1995,2,775.7774965
1995,3,807.9524995
1995,4,828.837494
1995,5,858.662491
1995,6,901.0325013
1995,7,972.5550078
1995,8,1006.919983
1995,9,1035.407501
1995,10,1021.865021
1995,11,1045.472519
1995,12,1047.292511
1996,1,1037.555008
1996,2,1084.505005
1996,3,1094.512482
1996,4,1144.899994
1996,5,1212.482514
1996,6,1207.357514
1996,7,1118.177506
1996,8,1114.287506
1996,9,1180.15503
1996,10,1229.304993
1996,11,1257.077484
1996,12,1291.44751
1997,1,1336.342499
1997,2,1343.589997
1997,3,1270.162476
1997,4,1233.402527
1997,5,1334.862488
1997,6,1422.969971
1997,7,1516.160034
1997,8,1591.345001
1997,9,1644.579956
1997,10,1624.755005
1997,11,1593.252533
1997,12,1579.565003
1998,1,1572.152496
1998,2,1708.59253
1998,3,1790.92749
1998,4,1856.782501
1998,5,1820.882538
1998,6,1819.692505
1998,7,1919.132508
1998,8,1685.502503
1998,9,1612.012482
1998,10,1640.047516
1998,11,1882.422516
1998,12,2061.494965
1999,1,2353.197449
1999,2,2392.014954
1999,3,2376.012451
1999,4,2510.890076
1999,5,2497.177551
1999,6,2553.772583
1999,7,2706.362488
1999,8,2659.945008
1999,9,2770.179993
1999,10,2826.527466
1999,11,3186.017456
1999,12,3705.647583
2000,1,4035.195007
2000,2,4317.015015
2000,3,4698.464966
2000,4,4038.857483
2000,5,3589.03241
2000,6,3742.910034
2000,7,3905.607544
2000,8,3924.292481
2000,9,3949.875
2000,10,3456.174988
2000,11,2979.372498
2000,12,2607.880005
2001,1,2597.73999
2001,2,2461.94751
2001,3,2001.137512
2001,4,1943.475006
2001,5,2151.797485
2001,6,2132.485046
2001,7,2074.902527
2001,8,1934.315003
2001,9,1631.085022
2001,10,1608.232483
2001,11,1821.294983
2001,12,1957.549988
2002,1,1962.394989
2002,2,1824.755005
2002,3,1819.787476
2002,4,1757.289978
2002,5,1654.777496
2002,6,1518.434998
2002,7,1359.390015
2002,8,1317.440003
2002,9,1245.517517
2002,10,1241.519989
2002,11,1402.722473
2002,12,1423.019958
2003,1,1359.70752
2003,2,1319.029999
2003,3,1341.082489
2003,4,1408.142517
2003,5,1527.537506
2003,6,1626.424988
2003,7,1681.835022
2003,8,1749.194977
2003,9,1825.514984
2003,10,1873.059967
2003,11,1942.977509
2003,12,1969.757477
2004,1,2057.707489
2004,2,2046.97995
2004,3,1999.267517
2004,4,1978.777527
2004,5,1943.182495
2004,6,2010.554993
2004,7,1951.870026
2004,8,1839.244995
2004,9,1872.347473
2004,10,1942.022492
2004,11,2039.87497
2004,12,2140.860046
2005,1,2111.860016
2005,2,2060.359986
2005,3,2031.462494
2005,4,1960.597473
2005,5,1996.070007
2005,6,2067.612488
2005,7,2124.372498
2005,8,2168.934998
2005,9,2145.402527
2005,10,2116.394989
2005,11,2180.217529
2005,12,2232.210022
2006,1,2261.294983
2006,2,2280.42749
2006,3,2305.154968
2006,4,2337.442505
2006,5,2249.26001
2006,6,2162.725037
2006,7,2118.149963
2006,8,2126.412537
2006,9,2218.432495
2006,10,2306.80249
2006,11,2397.625
2006,12,2427.484985
2007,1,2449.309937
2007,2,2454.25
2007,3,2397.587464
2007,4,2480.620056
2007,5,2563.234985
2007,6,2596.702515
2007,7,2608.574951
2007,8,2537.325012
2007,9,2637.889954
2007,10,2780.755005
2007,11,2717.849976
2007,12,2649
2008,1,2476.952515
2008,2,2333.984985
2008,3,2263.140015
2008,4,2359.19751
2008,5,2476.777466
2008,6,2412.082519
2008,7,2280.117493
2008,8,2362.119995
2008,9,2222.707519
2008,10,1843.26001
2008,11,1583.944977
2008,12,1518.527496
2009,1,1538.75
2009,2,1452.402497
2009,3,1434.309998
2009,4,1618.580017
2009,5,1733.034973
2009,6,1816.20752
2009,7,1890.370026
2009,8,1999.132508
2009,9,2062.36499
2009,10,2096.932465
2009,11,2105.402558
2009,12,2220.784973
2010,1,2227.095032
2010,2,2186.479981
2010,3,2331.234985
2010,4,2447.979981
2010,5,2343.222534
2010,6,2200.100037
2010,7,2183.547486
2010,8,2201.517517
2010,9,2263.345032
2010,10,2436.047485
2010,11,2517.852478
2010,12,2599.627502
2011,1,2701.634949
2011,2,2761.482544
2011,3,2744.492554
2011,4,2813.38501
2011,5,2836.045044
2011,6,2759.205017
2011,7,2783.847473
2011,8,2624.699951
2011,9,2514.105042
2011,10,2534.464966
2011,11,2599.880005
2011,12,2603.339966
2012,1,2733.190003
2012,2,2905.57251
2012,3,3026.282532
2012,4,3051.647522
2012,5,2932.994995
2012,6,2853.534973
2012,7,2925.897461
2012,8,3003.767517
2012,9,3104.162476
2012,10,3060.039978
2012,11,2960.607544
2012,12,3015.39502
2013,1,3118.53003
2013,2,3160.522522
2013,3,3202.690003
2013,4,3270.292481
2013,5,3402.450012
2013,6,3411.817505
2013,7,3530.357544
2013,8,3627.952515
2013,9,3696.625
2013,10,3827.657471
2013,11,3979.277466
2013,12,4099.892456
2014,1,4138.804871
2014,2,4180.98999
2014,3,4240.982544
2014,4,4141.637512
2014,5,4159.250061
2014,6,4320.30249
2014,7,4407.862549
2014,8,4461.455079
2014,9,4540.204956
2014,10,4468.875
2014,11,4707.779907
2014,12,4719.01001
2015,1,4683.900024
2015,2,4795.959961
2015,3,4935.595093
2015,4,4950
2015,5,5009.014893
2015,6,5050.599975
2015,7,5072.694824
2015,8,4844.562378
2015,9,4685.425049
2015,10,4831.559937
2015,11,5061.610108
2015,12,5046.352539
