year,month,value
1995,1,2679.487427
1995,2,2753.164978
1995,3,2823.107422
1995,4,2901.429932
1995,5,2979.569946
1995,6,3059.907532
1995,7,3144.179993
1995,8,3177.540039
1995,9,3262.127503
1995,10,3290.122559
1995,11,3356.152466
1995,12,3459.512451
1996,1,3524.172425
1996,2,3636.88501
1996,3,3654.785034
1996,4,3683.57251
1996,5,3746.880005
1996,6,3795.465027
1996,7,3706.542542
1996,8,3714.735047
1996,9,3796.130005
1996,10,3936.547546
1996,11,4083.17749
1996,12,4148.684998
1997,1,4239.647461
1997,2,4398.1427
1997,3,4340.88501
1997,4,4290.687378
1997,5,4533.434815
1997,6,4789.900025
1997,7,5078.084961
1997,8,5095.375122
1997,9,5171.477417
1997,10,5180.174927
1997,11,5211.555054
1997,12,5354.407593
1998,1,5348.669922
1998,2,5630.405029
1998,3,5901.9375
1998,4,6086.369995
1998,5,6063.637451
1998,6,6024.199952
1998,7,6124.542359
1998,8,5506.215088
1998,9,5322.974976
1998,10,5429.927612
1998,11,5966.172607
1998,12,6134.667603
1999,1,6309.052613
1999,2,6240.534912
1999,3,6315.637573
1999,4,6575.669922
1999,5,6692.670044
1999,6,6706.494995
1999,7,6784.609985
1999,8,6558.354981
1999,9,6402.947632
1999,10,6396.022461
1999,11,6662.137573
1999,12,6779.90503
2000,1,6668.929932
2000,2,6406.440064
2000,3,6577.152466
2000,4,6810.829956
2000,5,6823.650024
2000,6,6857.167359
2000,7,6856.482544
2000,8,6993.755005
2000,9,7063.359864
2000,10,6937.374878
2000,11,6836.257568
2000,12,6802.159912
2001,1,6895.157471
2001,2,6828.194947
2001,3,6414.052491
2001,4,6433.690064
2001,5,6816.59253
2001,6,6694.757446
2001,7,6528.219971
2001,8,6369.324951
2001,9,5887.320068
2001,10,5807.672607
2001,11,6025.492432
2001,12,6155.867554
2002,1,6160.625
2002,2,6056.234986
2002,3,6310.459961
2002,4,6183.967529
2002,5,6085.867432
2002,6,5750.630005
2002,7,5219.797607
2002,8,5138.330078
2002,9,4915.409912
2002,10,4854.954956
2002,11,5128.050049
2002,12,5104.335083
2003,1,5009.965088
2003,2,4772.369995
2003,3,4709.005005
2003,4,4935.762451
2003,5,5268.202515
2003,6,5528.739868
2003,7,5542.420044
2003,8,5582.920044
2003,9,5694.11499
2003,10,5807.63501
2003,11,6008.76001
2003,12,6269.875
2004,1,6533.527466
2004,2,6635.732544
2004,3,6613.532593
2004,4,6545.314942
2004,5,6425.869995
2004,6,6540.080078
2004,7,6471.029907
2004,8,6384.097534
2004,9,6527.267456
2004,10,6618.45752
2004,11,6864.98999
2004,12,7123.882569
2005,1,7148.03003
2005,2,7215.990112
2005,3,7252.41748
2005,4,7085.152466
2005,5,7058.287476
2005,6,7208.594849
2005,7,7349.61499
2005,8,7481.140015
2005,9,7567.14502
2005,10,7482.532593
2005,11,7564.397339
2005,12,7728.120117
2006,1,7936.170044
2006,2,8059.015015
2006,3,8144.742676
2006,4,8344.994995
2006,5,8321.779907
2006,6,8095.682495
2006,7,8124.927612
2006,8,8293.009888
2006,9,8393.897461
2006,10,8626.752686
2006,11,8856.100098
2006,12,9045.489746
2007,1,9155.420166
2007,2,9216.485108
2007,3,9137.792725
2007,4,9472.832764
2007,5,9799.295166
2007,6,9905.492432
2007,7,9791.679932
2007,8,9440.287598
2007,9,9773.034912
2007,10,10140.59497
2007,11,9965.704834
2007,12,9802.847412
2008,1,9247.915039
2008,2,9042.207275
2008,3,8785.137451
2008,4,9071.252441
2008,5,9408.270019
2008,6,9015.32251
2008,7,8470.632568
2008,8,8381.467529
2008,9,7879.559937
2008,10,6579.714966
2008,11,5654.864991
2008,12,5566.074951
2009,1,5497.255005
2009,2,4983.459961
2009,3,4752.577393
2009,4,5255.819946
2009,5,5754.564941
2009,6,5961.624878
2009,7,6084.327393
2009,8,6545.337524
2009,9,6773.712524
2009,10,6881.422607
2009,11,6947.797486
2009,12,7142.005005
2010,1,7102.319946
2010,2,6915.464966
2010,3,7253.944825
2010,4,7525.867554
2010,5,7069.45752
2010,6,6701.049927
2010,7,6729.255005
2010,8,6873.685059
2010,9,7016.609985
2010,10,7412.469971
2010,11,7536.785034
2010,12,7702.127564
2011,1,8058.762451
2011,2,8309.304932
2011,3,8296.794922
2011,4,8490.070068
2011,5,8518.902588
2011,6,8293.685058
2011,7,8226.602417
2011,8,7678.949951
2011,9,7136.517456
2011,10,7158.602539
2011,11,7407.217529
2011,12,7421.869873
2012,1,7676.179932
2012,2,8000.11499
2012,3,8142.334839
2012,4,8116.74524
2012,5,7794.530152
2012,6,7548.742432
2012,7,7788.037598
2012,8,7944.380005
2012,9,8185.084961
2012,10,8280.242676
2012,11,8168.409912
2012,12,8357.102295
2013,1,8745.402588
2013,2,8876.330078
2013,3,8960.899902
2013,4,9135.567383
2013,5,9353.98999
2013,6,9164.222412
2013,7,9367.44751
2013,8,9456.234863
2013,9,9545.409912
2013,10,9800.777344
2013,11,10083.15259
2013,12,10226.61987
2014,1,10390.76025
2014,2,10149.4126
2014,3,10424.84985
2014,4,10526.6001
2014,5,10665.65991
2014,6,10873.9624
2014,7,10890.25732
2014,8,10839.4751
2014,9,10886.72241
2014,10,10566.45508
2014,11,10890.65991
2014,12,10785.23022
2015,1,10682.26733
2015,2,10817.25488
2015,3,10931.86523
2015,4,11009.71997
2015,5,11086.82495
2015,6,10956.57764
2015,7,10845.41772
2015,8,10371.44482
2015,9,9975.922608
2015,10,10132.19482
2015,11,10416.83496
2015,12,10248.67236
