year,month,value
1995,1,122.9
1995,2,123.5
1995,3,123.9
1995,4,124.6
1995,5,124.9
1995,6,125.3
1995,7,125.3
1995,8,125.1
1995,9,125.2
1995,10,125.3
1995,11,125.4
1995,12,125.7
1996,1,126.3
1996,2,126.2
1996,3,126.4
1996,4,127.4
1996,5,128.1
1996,6,128
1996,7,128
1996,8,128.3
1996,9,128.2
1996,10,128
1996,11,128.2
1996,12,129.1
1997,1,129.7
1997,2,128.5
1997,3,127.3
1997,4,127
1997,5,127.4
1997,6,127.2
1997,7,126.9
1997,8,127.2
1997,9,127.5
1997,10,127.8
1997,11,127.9
1997,12,126.8
1998,1,125.4
1998,2,125
1998,3,124.7
1998,4,124.9
1998,5,125.1
1998,6,124.8
1998,7,124.9
1998,8,124.2
1998,9,123.8
1998,10,124
1998,11,123.6
1998,12,122.8
1999,1,122.9
1999,2,122.3
1999,3,122.6
1999,4,123.6
1999,5,124.7
1999,6,125.2
1999,7,125.7
1999,8,126.9
1999,9,128
1999,10,127.7
1999,11,128.3
1999,12,127.8
2000,1,128.3
2000,2,129.8
2000,3,130.8
2000,4,130.7
2000,5,131.6
2000,6,133.8
2000,7,133.7
2000,8,132.9
2000,9,134.7
2000,10,135.4
2000,11,135
2000,12,136.2
2001,1,140
2001,2,137.4
2001,3,135.9
2001,4,136.4
2001,5,136.8
2001,6,135.5
2001,7,133.4
2001,8,133.4
2001,9,133.3
2001,10,130.3
2001,11,129.8
2001,12,128.1
2002,1,128.5
2002,2,128.4
2002,3,129.8
2002,4,130.8
2002,5,130.8
2002,6,130.9
2002,7,131.2
2002,8,131.5
2002,9,132.3
2002,10,133.2
2002,11,133.1
2002,12,132.9
2003,1,135.3
2003,2,137.6
2003,3,141.2
2003,4,136.8
2003,5,136.7
2003,6,138
2003,7,137.7
2003,8,138
2003,9,138.5
2003,10,139.3
2003,11,138.9
2003,12,139.5
2004,1,141.4
2004,2,142.1
2004,3,143.1
2004,4,144.8
2004,5,146.8
2004,6,147.2
2004,7,147.4
2004,8,148
2004,9,147.7
2004,10,150
2004,11,151.4
2004,12,150.2
2005,1,150.9
2005,2,151.6
2005,3,153.7
2005,4,155
2005,5,154.3
2005,6,154.3
2005,7,156.3
2005,8,157.6
2005,9,162.2
2005,10,166.2
2005,11,163.7
2005,12,163
2006,1,164.3
2006,2,161.8
2006,3,162.2
2006,4,164.3
2006,5,165.8
2006,6,166.1
2006,7,166.8
2006,8,167.9
2006,9,165.4
2006,10,162.2
2006,11,164.6
2006,12,165.6
2007,1,164
2007,2,166.8
2007,3,169.3
2007,4,171.4
2007,5,173.3
2007,6,173.8
2007,7,175.1
2007,8,172.4
2007,9,173.5
2007,10,174.7
2007,11,179
2007,12,178.6
2008,1,181
2008,2,182.7
2008,3,187.9
2008,4,190.9
2008,5,196.6
2008,6,200.5
2008,7,205.5
2008,8,199
2008,9,196.9
2008,10,186.4
2008,11,176.8
2008,12,170.9
2009,1,171.2
2009,2,169.3
2009,3,168.1
2009,4,169.1
2009,5,170.8
2009,6,174.1
2009,7,172.5
2009,8,175
2009,9,174.1
2009,10,175.2
2009,11,177.4
2009,12,178.1
2010,1,181.9
2010,2,181
2010,3,183.3
2010,4,184.4
2010,5,184.8
2010,6,183.5
2010,7,184.1
2010,8,184.9
2010,9,184.9
2010,10,186.6
2010,11,187.7
2010,12,189.7
2011,1,192.7
2011,2,195.8
2011,3,199.2
2011,4,203.1
2011,5,204.1
2011,6,203.9
2011,7,204.6
2011,8,203.2
2011,9,203.7
2011,10,201.1
2011,11,201.4
2011,12,199.8
2012,1,200.7
2012,2,201.6
2012,3,204.2
2012,4,203.7
2012,5,201.9
2012,6,199.8
2012,7,200.1
2012,8,202.7
2012,9,204.4
2012,10,203.5
2012,11,201.8
2012,12,201.5
2013,1,202.5
2013,2,204.3
2013,3,204
2013,4,203.5
2013,5,204.1
2013,6,204.3
2013,7,204.4
2013,8,204.2
2013,9,203.9
2013,10,202.5
2013,11,201.2
2013,12,202
2014,1,203.8
2014,2,205.7
2014,3,207
2014,4,208.3
2014,5,208
2014,6,208.3
2014,7,208
2014,8,207
2014,9,206.4
2014,10,203.4
2014,11,200.9
2014,12,197
2015,1,192
2015,2,191.1
2015,3,191.5
2015,4,190.9
2015,5,193.4
2015,6,194.8
2015,7,193.9
2015,8,191.9
2015,9,189.1
2015,10,187.7
2015,11,185.9
2015,12,183.8
