year,month,value
1995,1,0.0283
1995,2,0.0273
1995,3,0.0267
1995,4,0.0261
1995,5,0.0254
1995,6,0.0248
1995,7,0.0241
1995,8,0.0242
1995,9,0.0235
1995,10,0.0234
1995,11,0.023
1995,12,0.0224
1996,1,0.0226
1996,2,0.0216
1996,3,0.0218
1996,4,0.0219
1996,5,0.0215
1996,6,0.0214
1996,7,0.0224
1996,8,0.0219
1996,9,0.0217
1996,10,0.021
1996,11,0.0201
1996,12,0.02
1997,1,0.0195
1997,2,0.0188
1997,3,0.019
1997,4,0.0198
1997,5,0.0182
1997,6,0.0173
1997,7,0.0164
1997,8,0.0165
1997,9,0.0164
1997,10,0.0162
1997,11,0.0164
1997,12,0.0161
1998,1,0.0161
1998,2,0.0152
1998,3,0.0145
1998,4,0.0142
1998,5,0.0143
1998,6,0.0144
1998,7,0.0138
1998,8,0.015
1998,9,0.0158
1998,10,0.0157
1998,11,0.0141
1998,12,0.0136
1999,1,0.013
1999,2,0.0131
1999,3,0.0128
1999,4,0.0123
1999,5,0.0123
1999,6,0.0124
1999,7,0.012
1999,8,0.0125
1999,9,0.0126
1999,10,0.0128
1999,11,0.012
1999,12,0.0117
2000,1,0.0117
2000,2,0.0121
2000,3,0.0116
2000,4,0.0115
2000,5,0.0118
2000,6,0.0114
2000,7,0.0113
2000,8,0.0111
2000,9,0.0111
2000,10,0.0117
2000,11,0.0118
2000,12,0.0122
2001,1,0.0121
2001,2,0.0123
2001,3,0.0135
2001,4,0.0133
2001,5,0.0124
2001,6,0.0127
2001,7,0.013
2001,8,0.0133
2001,9,0.0151
2001,10,0.0146
2001,11,0.0139
2001,12,0.0137
2002,1,0.0138
2002,2,0.0143
2002,3,0.0136
2002,4,0.0142
2002,5,0.0148
2002,6,0.0158
2002,7,0.0177
2002,8,0.0174
2002,9,0.0182
2002,10,0.0186
2002,11,0.0176
2002,12,0.0179
2003,1,0.018
2003,2,0.0193
2003,3,0.0192
2003,4,0.0182
2003,5,0.0173
2003,6,0.0164
2003,7,0.0164
2003,8,0.0166
2003,9,0.0163
2003,10,0.0162
2003,11,0.0163
2003,12,0.0161
2004,1,0.0155
2004,2,0.0156
2004,3,0.016
2004,4,0.0161
2004,5,0.0167
2004,6,0.0164
2004,7,0.017
2004,8,0.0174
2004,9,0.0171
2004,10,0.0172
2004,11,0.0166
2004,12,0.0162
2005,1,0.0167
2005,2,0.0166
2005,3,0.0169
2005,4,0.0176
2005,5,0.0176
2005,6,0.0174
2005,7,0.0173
2005,8,0.0174
2005,9,0.0175
2005,10,0.0182
2005,11,0.0178
2005,12,0.0176
2006,1,0.0175
2006,2,0.0177
2006,3,0.0176
2006,4,0.0177
2006,5,0.018
2006,6,0.0187
2006,7,0.0188
2006,8,0.0185
2006,9,0.0183
2006,10,0.0179
2006,11,0.0177
2006,12,0.0176
2007,1,0.0176
2007,2,0.0175
2007,3,0.0181
2007,4,0.0176
2007,5,0.0172
2007,6,0.0173
2007,7,0.0174
2007,8,0.0184
2007,9,0.018
2007,10,0.0177
2007,11,0.0188
2007,12,0.0187
2008,1,0.0203
2008,2,0.0207
2008,3,0.0215
2008,4,0.0208
2008,5,0.0204
2008,6,0.0214
2008,7,0.0229
2008,8,0.0225
2008,9,0.0237
2008,10,0.0296
2008,11,0.0323
2008,12,0.0323
2009,1,0.0324
2009,2,0.0343
2009,3,0.036
2009,4,0.0315
2009,5,0.029
2009,6,0.0276
2009,7,0.0267
2009,8,0.0242
2009,9,0.0229
2009,10,0.0219
2009,11,0.021
2009,12,0.0202
2010,1,0.0198
2010,2,0.0203
2010,3,0.019
2010,4,0.0183
2010,5,0.0195
2010,6,0.0203
2010,7,0.0205
2010,8,0.0205
2010,9,0.0199
2010,10,0.0192
2010,11,0.0189
2010,12,0.0183
2011,1,0.0179
2011,2,0.0176
2011,3,0.018
2011,4,0.0178
2011,5,0.018
2011,6,0.0189
2011,7,0.0186
2011,8,0.021
2011,9,0.0215
2011,10,0.0212
2011,11,0.0212
2011,12,0.0213
2012,1,0.0206
2012,2,0.02
2012,3,0.0197
2012,4,0.02
2012,5,0.0209
2012,6,0.0214
2012,7,0.0211
2012,8,0.0208
2012,9,0.0205
2012,10,0.021
2012,11,0.022
2012,12,0.022
2013,1,0.0213
2013,2,0.021
2013,3,0.0207
2013,4,0.0207
2013,5,0.0201
2013,6,0.0206
2013,7,0.0202
2013,8,0.0204
2013,9,0.0204
2013,10,0.0201
2013,11,0.0195
2013,12,0.0194
2014,1,0.0194
2014,2,0.0197
2014,3,0.0194
2014,4,0.0196
2014,5,0.0196
2014,6,0.0192
2014,7,0.0191
2014,8,0.0194
2014,9,0.0193
2014,10,0.02
2014,11,0.0191
2014,12,0.0192
2015,1,0.0197
2015,2,0.0194
2015,3,0.0196
2015,4,0.0196
2015,5,0.0196
2015,6,0.0199
2015,7,0.0201
2015,8,0.0207
2015,9,0.0219
2015,10,0.0211
2015,11,0.0207
2015,12,0.0211
