year,month,value
1995,1,464.5475003
1995,2,479.0725098
1995,3,493.987503
1995,4,507.725006
1995,5,523.650009
1995,6,538.8050078
1995,7,553.680008
1995,8,560.649994
1995,9,573.7274933
1995,10,582.0299835
1995,11,594.1499938
1995,12,612.3074953
1996,1,621.354996
1996,2,643.5975038
1996,3,642.6324923
1996,4,645.1224978
1996,5,658.6149903
1996,6,669.7050018
1996,7,648.0850068
1996,8,650.5274963
1996,9,668.5424958
1996,10,697.779999
1996,11,731.4275058
1996,12,744.050003
1997,1,762.7799835
1997,2,792.0224915
1997,3,779.7425078
1997,4,774.0325013
1997,5,823.6750183
1997,6,868.5825195
1997,7,920.4299928
1997,8,927.8174898
1997,9,926.7024995
1997,10,925.0725098
1997,11,933.794998
1997,12,959.25
1998,1,964.0475158
1998,2,1015.390015
1998,3,1073.757477
1998,4,1105.794983
1998,5,1101.869995
1998,6,1111.119995
1998,7,1139.847504
1998,8,1039.255035
1998,9,995.095001
1998,10,1035.695023
1998,11,1138.485016
1998,12,1193.670014
1999,1,1248.674988
1999,2,1253.424988
1999,3,1266.137482
1999,4,1318.917542
1999,5,1322.577515
1999,6,1331.237488
1999,7,1362.56247
1999,8,1324.924988
1999,9,1305.192505
1999,10,1313.127503
1999,11,1380.890045
1999,12,1429.660004
2000,1,1422.962494
2000,2,1382.625
2000,3,1441.122498
2000,4,1454.399994
2000,5,1428.907502
2000,6,1446.182496
2000,7,1454.159973
2000,8,1474.787506
2000,9,1475.929993
2000,10,1406.632507
2000,11,1369.42749
2000,12,1319.587494
2001,1,1336.070007
2001,2,1299.442474
2001,3,1187.219971
2001,4,1192.769989
2001,5,1263.30249
2001,6,1242.462494
2001,7,1210.242523
2001,8,1173.987488
2001,9,1068.66748
2001,10,1059.522491
2001,11,1104.230011
2001,12,1143.919983
2002,1,1134.227478
2002,2,1110.372467
2002,3,1133.697479
2002,4,1108.902497
2002,5,1074.902497
2002,6,1020.154999
2002,7,917.8950043
2002,8,906.532501
2002,9,863.892517
2002,10,844.2775115
2002,11,908.9850008
2002,12,909.9650115
2003,1,877.7275085
2003,2,841.9450073
2003,3,843.5325163
2003,4,884.2974855
2003,5,937.180008
2003,6,979.2525178
2003,7,985.5799868
2003,8,992.5425113
2003,9,1008.657501
2003,10,1024.109986
2003,11,1050.939972
2003,12,1084.022522
2004,1,1125.877503
2004,2,1139.872467
2004,3,1130.384979
2004,4,1122.827484
2004,5,1108.01001
2004,6,1130.294983
2004,7,1115.544983
2004,8,1094.089997
2004,9,1112.38501
2004,10,1119.279999
2004,11,1155.019959
2004,12,1194.202515
2005,1,1193.685028
2005,2,1194.564972
2005,3,1194.247467
2005,4,1166.367493
2005,5,1173.522522
2005,6,1197.679993
2005,7,1213.552521
2005,8,1225.359985
2005,9,1224.404999
2005,10,1209.339997
2005,11,1232.049988
2005,12,1255.040009
2006,1,1267.252502
2006,2,1277.97998
2006,3,1288.70752
2006,4,1303.097504
2006,5,1288.184967
2006,6,1262.555023
2006,7,1262.920044
2006,8,1287.597504
2006,9,1317.715027
2006,10,1357.577454
2006,11,1386.815003
2006,12,1409.167542
2007,1,1425.462494
2007,2,1423.92749
2007,3,1407.632507
2007,4,1454.397492
2007,5,1506.3125
2007,6,1514.677521
2007,7,1492.52002
2007,8,1450.915009
2007,9,1494.684998
2007,10,1535.580017
2007,11,1494.705017
2007,12,1476.80249
2008,1,1397.085022
2008,2,1355.5
2008,3,1317.452484
2008,4,1360.229981
2008,5,1399.914978
2008,6,1338.917511
2008,7,1259.169983
2008,8,1278.212494
2008,9,1215.912506
2008,10,1034.937515
2008,11,903.3600008
2008,12,881.5999908
2009,1,869.2549898
2009,2,791.927521
2009,3,756.80249
2009,4,834.605011
2009,5,897.037491
2009,6,921.9174955
2009,7,943.5749968
2009,8,1007.204987
2009,9,1037.179993
2009,10,1053.102493
2009,11,1068.720001
2009,12,1107.565003
2010,1,1103.117493
2010,2,1083.825012
2010,3,1140.209991
2010,4,1187.102478
2010,5,1130.975006
2010,6,1069.392487
2010,7,1066.139969
2010,8,1081.449982
2010,9,1099.449982
2010,10,1163.690003
2010,11,1191.584992
2010,12,1223.359986
2011,1,1276.007507
2011,2,1312.392487
2011,3,1308.950012
2011,4,1338.087494
2011,5,1348.197479
2011,6,1317.277466
2011,7,1313.065002
2011,8,1230.100006
2011,9,1173.512512
2011,10,1187.985016
2011,11,1233.542511
2011,12,1244.0625
2012,1,1290.899994
2012,2,1342.154999
2012,3,1383.387512
2012,4,1396.535004
2012,5,1353.872467
2012,6,1325.557495
2012,7,1364.699982
2012,8,1391.807495
2012,9,1429.570038
2012,10,1431.825012
2012,11,1401.5
2012,12,1422.159973
2013,1,1465.107452
2013,2,1507.184998
2013,3,1538.907501
2013,4,1575.087494
2013,5,1624.187531
2013,6,1613.127472
2013,7,1649.714996
2013,8,1664.882508
2013,9,1670.192505
2013,10,1715.160004
2013,11,1781.065003
2013,12,1818.084991
2014,1,1812.434967
2014,2,1811.992523
2014,3,1862.107483
2014,4,1867.387482
2014,5,1897.945007
2014,6,1942.0625
2014,7,1953.755036
2014,8,1960.747528
2014,9,1989.915009
2014,10,1957.084991
2014,11,2040.63501
2014,12,2047.69751
2015,1,2028.592499
2015,2,2050.415039
2015,3,2082.582459
2015,4,2081.859925
2015,5,2099.35492
2015,6,2089.485046
2015,7,2086.920044
2015,8,2014.084992
2015,9,1945.722504
2015,10,1996.757538
2015,11,2074.259979
2015,12,2056.099976
