Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,0.2,,,,,,,,,,,
2015,-0.5,0.4,0.6,0.2,0.5,0.4,0,-0.1,-0.2,0,-0.2,-0.3
2014,0.4,0.4,0.6,0.3,0.3,0.2,0,-0.2,0.1,-0.3,-0.5,-0.6
2013,0.3,0.8,0.3,-0.1,0.2,0.2,0,0.1,0.1,-0.3,-0.2,0
2012,0.4,0.4,0.8,0.3,-0.1,-0.1,-0.2,0.6,0.4,0,-0.5,-0.3
2011,0.5,0.5,1,0.6,0.5,-0.1,0.1,0.3,0.2,-0.2,-0.1,-0.2
2010,0.3,0,0.4,0.2,0.1,-0.1,0,0.1,0.1,0.1,0,0.2
2009,0.4,0.5,0.2,0.2,0.3,0.9,-0.2,0.2,0.1,0.1,0.1,-0.2
2008,0.5,0.3,0.9,0.6,0.8,1,0.5,-0.4,-0.1,-1,-1.9,-1
2007,0.3,0.5,0.9,0.6,0.6,0.2,0,-0.2,0.3,0.2,0.6,-0.1
2006,0.8,0.2,0.6,0.9,0.5,0.2,0.3,0.2,-0.5,-0.5,-0.1,0.1
2005,0.2,0.6,0.8,0.7,-0.1,0.1,0.5,0.5,1.2,0.2,-0.8,-0.4
2004,0.5,0.5,0.6,0.3,0.6,0.3,-0.2,0.1,0.2,0.5,0.1,-0.4
2003,0.4,0.8,0.6,-0.2,-0.2,0.1,0.1,0.4,0.3,-0.1,-0.3,-0.1
2002,0.2,0.4,0.6,0.6,0,0.1,0.1,0.3,0.2,0.2,0,-0.2
2001,0.6,0.4,0.2,0.4,0.5,0.2,-0.3,0,0.5,-0.3,-0.2,-0.4
2000,0.3,0.6,0.8,0.1,0.1,0.5,0.2,0,0.5,0.2,0.1,-0.1
1999,0.2,0.1,0.3,0.7,0,0,0.3,0.2,0.5,0.2,0.1,0
1998,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0,-0.1
1997,0.3,0.3,0.3,0.1,-0.1,0.1,0.1,0.2,0.2,0.2,-0.1,-0.1
1996,0.6,0.3,0.5,0.4,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0
1995,0.4,0.4,0.3,0.3,0.2,0.2,0,0.3,0.2,0.3,-0.1,-0.1
1994,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.4,0.3,0.1,0.1,0
1993,0.5,0.4,0.3,0.3,0.1,0.1,0,0.3,0.2,0.4,0.1,0
1992,0.1,0.4,0.5,0.1,0.1,0.4,0.2,0.3,0.3,0.4,0.1,-0.1
1991,0.6,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.4,0.1,0.3,0.1
1990,1,0.5,0.5,0.2,0.2,0.5,0.4,0.9,0.8,0.6,0.2,0
1989,0.5,0.4,0.6,0.7,0.6,0.2,0.2,0.2,0.3,0.5,0.2,0.2
1988,0.3,0.3,0.4,0.5,0.3,0.4,0.4,0.4,0.7,0.3,0.1,0.2
1987,0.6,0.4,0.4,0.5,0.4,0.4,0.3,0.5,0.5,0.3,0.1,0
1986,0.3,-0.3,-0.5,-0.2,0.3,0.6,0,0.2,0.5,0.1,0.1,0.1
1985,0.2,0.5,0.4,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.3,0.3
1984,0.6,0.5,0.2,0.5,0.3,0.3,0.4,0.4,0.5,0.3,0,0
1983,0.2,0.1,0,0.7,0.6,0.3,0.4,0.3,0.5,0.3,0.2,0.1
1982,0.3,0.3,-0.1,0.4,0.9,1.3,0.5,0.2,0.2,0.3,-0.2,-0.4
1981,0.8,1,0.7,0.7,0.8,0.9,1.1,0.8,1,0.2,0.3,0.3
1980,1.4,1.4,1.5,1.1,1,1.1,0,0.7,0.8,1,0.8,0.9
1979,0.9,1.2,1,1.1,1.3,1.1,1.1,1,1.1,0.8,0.9,1.1
1978,0.6,0.6,0.8,0.8,0.9,1.1,0.8,0.5,0.8,0.9,0.4,0.4
1977,0.5,1,0.7,0.8,0.5,0.7,0.5,0.3,0.3,0.3,0.5,0.3
1976,0.2,0.4,0.2,0.4,0.7,0.5,0.5,0.5,0.3,0.5,0.2,0.3
1975,0.4,0.8,0.4,0.4,0.6,0.8,1.1,0.2,0.6,0.5,0.7,0.4
1974,0.9,1.3,1.3,0.4,1.3,0.8,0.8,1.2,1.2,1,0.8,0.8
1973,0.2,0.7,0.9,0.7,0.7,0.7,0.2,1.8,0.2,0.9,0.7,0.7
1972,0,0.5,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.5,0.2,0.2
1971,0,0.3,0.3,0.3,0.5,0.7,0.2,0.2,0,0.2,0,0.5
1970,0.3,0.5,0.5,0.8,0.3,0.5,0.5,0,0.5,0.5,0.5,0.5
1969,0.3,0.6,0.8,0.6,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0.5
1968,0.6,0.3,0.3,0.3,0.3,0.6,0.6,0.3,0.3,0.6,0.3,0.3
1967,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1966,0,0.6,0.3,0.6,0,0.3,0.3,0.6,0,0.6,0,0
1965,0,0,0.3,0.3,0,0.6,0,0,0,0.3,0,0.3
1964,0,0,0,0,0,0.3,0.3,-0.3,0.3,0,0.3,0
1963,0,0,0.3,0,0,0.3,0.3,0,0,0.3,0,0.3
1962,0,0.3,0,0.3,0,0,0.3,0,0.3,0,0,0
1961,0,0,0,0,0,0,0.7,-0.3,0.3,0,0,0
1960,-0.3,0.3,0,0.3,0,0.3,0,0,0,0.7,0,0
1959,0.3,-0.3,0,0.3,0,0.3,0.3,0,0.3,0.3,0,0
1958,0.7,0,0.7,0.3,0,0,0.3,-0.3,0,0,0.3,-0.3
1957,0,0.4,0.4,0.4,0.4,0.4,0.7,0,0,0,0.4,0
1956,0,0,0,0.4,0.4,0.7,0.7,-0.4,0.4,0.4,0,0.4
1955,0,0,0,0,0,0,0.4,0,0.4,0,0,-0.4
1954,0,0,0,-0.4,0.4,0,0,0,-0.4,0,0,-0.4
1953,-0.4,-0.4,0.4,0,0.4,0.4,0,0.4,0,0.4,-0.4,0
1952,0,-0.8,0,0.4,0,0.4,0.8,0,0,0,0,0
1951,1.6,1.2,0.4,0,0.4,0,0,0,0.8,0.4,0.8,0.4
1950,-0.4,0,0.4,0,0.4,0.4,1.3,0.8,0.4,0.8,0.4,1.2
1949,-0.4,-0.8,0,0.4,-0.4,0.4,-0.8,0.4,0.4,-0.8,0.4,-0.8
1948,1.3,-0.8,-0.4,1.7,0.4,0.8,1.2,0.4,0,-0.4,-0.8,-0.4
1947,0,0,1.9,0,0,0.5,0.9,1.4,2.2,0,0.4,1.3
1946,0,-0.5,1.1,0.5,0.5,1.1,5.9,2,1,2,2.4,0.9
1945,0,0,0,0,0.6,1.1,0,0,0,0,0,0.6
1944,0,0,0,0.6,0,0.6,0.6,0,0,0,0,0.6
1943,0,0,1.8,1.2,0.6,0,-0.6,-0.6,0.6,0,0,0
1942,1.3,0.6,1.3,0.6,1.2,0,0.6,0.6,0,1.2,0.6,0.6
1941,0,0,0.7,0.7,0.7,2.1,0,1.4,1.3,1.3,0.7,0.6
1940,-0.7,0.7,0,0,0,0.7,-0.7,0,0,0,0,0.7
1939,0,-0.7,0,-0.7,0,0,0,0,2.2,-0.7,0,0
1938,-1.4,-0.7,0,0.7,-0.7,0,0,0,0,-0.7,0,0
1937,0.7,0,0.7,0.7,0.7,0,0.7,0,0.7,0,-0.7,-0.7
1936,0,0,-0.7,0,0,0.7,0.7,0.7,0,0,0,0
1935,1.5,0.7,0,0.7,0,-0.7,0,0,0,0,0.7,0
1934,0,0.8,0,0,0,0.8,0,0,1.5,-0.7,0,-0.7
1933,-1.5,-1.6,-0.8,0,0,0.8,3.1,0.8,0,0,0,0
1932,-2.1,-1.4,-0.7,-0.7,-1.4,-0.7,0,-0.7,-0.7,-0.7,-0.8,-0.8
1931,-1.2,-1.3,-0.6,-0.6,-1.3,-1.3,0,0,-0.7,-0.7,-1.3,-0.7
1930,-0.6,-0.6,-0.6,0.6,-0.6,-0.6,-1.2,-0.6,0.6,-0.6,-0.6,-1.8
1929,0,0,-0.6,-0.6,0.6,0.6,1.2,0,0,0,0,-0.6
1928,0,-1.2,0,0,0.6,-0.6,0,0,1.2,-0.6,0,-0.6
1927,-1.1,-0.6,-0.6,0,0.6,1.1,-1.7,-0.6,0.6,0.6,-0.6,0
1926,0,0,-0.6,0.6,-0.6,-0.6,-1.1,-0.6,0.6,0.6,0.6,0
1925,0,-0.6,0.6,-0.6,0.6,1.2,1.1,0,0,0,1.7,-0.6
1924,0,-0.6,-0.6,-0.6,0,0,0.6,-0.6,0.6,0.6,0,0.6
